DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8238990,1,2,1,70,705.3526,2,58,2.0,1967.0,2,2.0,6,1,2,3,1,3.0,1.0,2.0,3.0,390000.0,48.0,3.0,24.0,97.0,2.0
8238991,1,1,1,70,778.9672,1,71,7.0,1953.0,1,2.0,6,1,3,3,1,3.0,2.0,2.0,1.0,250000.0,35.0,4.0,360.0,1.0,2.0
8238991,1,2,1,70,778.9672,2,54,6.0,1970.0,2,2.0,6,1,3,2,1,3.0,2.0,2.0,1.0,,,,,,
8238992,1,1,1,70,850.7965,1,58,10.0,1966.0,1,3.0,6,1,3,2,1,3.0,1.0,2.0,3.0,600000.0,45.0,1.0,360.0,1.0,2.0
8238992,1,2,1,70,850.7965,2,57,10.0,1967.0,2,3.0,6,1,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8238992,1,3,1,70,850.7965,1,38,12.0,1986.0,3,6.0,6,1,1,1,1,3.0,1.0,2.0,5.0,450000.0,35.0,4.0,240.0,90.0,2.0
8238992,1,4,1,70,850.7965,2,25,7.0,1999.0,3,6.0,6,2,1,1,1,3.0,1.0,2.0,9.0,,,,,,
8238993,1,1,1,70,990.245,2,69,12.0,1955.0,1,4.0,6,2,3,3,1,3.0,1.0,2.0,3.0,450000.0,30.0,3.0,36.0,97.0,2.0
8238993,1,2,1,70,990.245,1,21,7.0,2003.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,5.0,400000.0,56.0,7.0,6.0,1.0,2.0
8238993,1,3,1,70,990.245,1,31,6.0,1993.0,3,2.0,6,1,2,1,1,3.0,1.0,2.0,5.0,400000.0,20.0,7.0,4.0,1.0,2.0
8238993,1,4,1,70,990.245,2,47,1.0,1978.0,7,2.0,6,1,3,3,1,3.0,1.0,2.0,5.0,600000.0,36.0,3.0,12.0,97.0,2.0
8238994,1,1,1,70,1133.9662,1,45,10.0,1979.0,1,3.0,6,1,2,2,1,3.0,1.0,2.0,5.0,800000.0,50.0,4.0,220.0,49.0,2.0
8238994,1,2,1,70,1133.9662,2,47,4.0,1978.0,2,3.0,6,1,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8238994,1,3,1,70,1133.9662,1,17,10.0,2007.0,3,6.0,6,2,1,1,1,3.0,1.0,2.0,5.0,,,,,,
