DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8239480,1,2,1,5,2914.3066,1,67,7.0,1957.0,2,1.0,6,2,3,2,1,3.0,1.0,2.0,5.0,1300000.0,60.0,4.0,12.0,49.0,2.0
8239481,1,1,1,5,2014.3174,1,39,6.0,1986.0,1,3.0,6,2,2,1,1,1.0,1.0,2.0,5.0,2000000.0,36.0,2.0,106.0,86.0,1.0
8239481,1,2,1,5,2014.3174,2,38,6.0,1986.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,8.0,,,,,,
8239481,1,3,1,5,2014.3174,2,16,10.0,2008.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,4.0,,,,,,
8239481,1,4,1,5,2014.3174,2,69,1.0,1956.0,4,4.0,6,2,3,3,1,1.0,1.0,2.0,8.0,,,,,,
8239481,1,5,1,5,2014.3174,1,33,2.0,1992.0,6,6.0,6,2,2,1,1,1.0,1.0,2.0,9.0,1423500.0,48.0,1.0,96.0,47.0,1.0
8239482,1,1,1,5,1113.5129,2,47,4.0,1978.0,1,4.0,6,1,3,3,1,3.0,1.0,2.0,3.0,2520000.0,70.0,1.0,4.0,47.0,2.0
8239482,1,2,1,5,1113.5129,1,16,9.0,2008.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,3.0,,,,,,
8239482,1,3,1,5,1113.5129,2,14,2.0,2011.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,4.0,,,,,,
8239482,1,4,1,5,1113.5129,1,19,5.0,2006.0,3,4.0,6,2,2,1,1,3.0,1.0,2.0,3.0,,,,,,
8239482,1,5,1,5,1113.5129,1,23,7.0,2001.0,3,2.0,6,2,2,1,1,3.0,1.0,2.0,3.0,1800000.0,60.0,1.0,0.0,47.0,2.0
8239482,1,6,1,5,1113.5129,2,33,6.0,1992.0,7,2.0,6,1,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8239483,1,1,1,5,1110.4358,2,72,5.0,1953.0,1,5.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239484,1,1,1,5,1110.4358,2,72,6.0,1953.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239485,1,1,1,5,1413.9856,1,41,10.0,1983.0,1,2.0,6,2,3,2,1,1.0,1.0,2.0,11.0,6000000.0,44.0,2.0,18.0,84.0,1.0
8239485,1,2,1,5,1413.9856,2,33,8.0,1991.0,2,2.0,6,1,2,3,1,1.0,1.0,2.0,11.0,2000000.0,20.0,4.0,3.0,84.0,1.0
8239485,1,3,1,5,1413.9856,1,6,6.0,2018.0,3,,6,2,1,1,1,1.0,2.0,1.0,3.0,,,,,,
8239486,1,1,1,5,1705.6834,2,34,5.0,1991.0,1,6.0,5,2,3,2,1,1.0,1.0,2.0,12.0,9300000.0,46.0,1.0,42.0,85.0,1.0
8239487,1,1,1,5,1330.8481,1,43,12.0,1981.0,1,6.0,6,2,2,2,1,2.0,1.0,1.0,13.0,7115000.0,40.0,2.0,216.0,85.0,1.0
8239488,1,1,1,5,1110.4358,2,70,8.0,1954.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,5.0,,,,,,
8239489,1,1,1,5,1888.442,2,33,4.0,1992.0,1,2.0,6,2,2,2,1,1.0,1.0,1.0,10.0,3000000.0,46.0,1.0,96.0,85.0,1.0
8239489,1,2,1,5,1888.442,1,40,11.0,1984.0,2,2.0,6,2,3,2,1,2.0,1.0,2.0,9.0,5000000.0,70.0,2.0,248.0,84.0,1.0
8239489,1,3,1,5,1888.442,2,6,5.0,2019.0,3,,6,2,1,1,1,1.0,1.0,1.0,2.0,,,,,,
8239490,1,1,1,5,1240.8209,2,65,4.0,1960.0,1,4.0,6,2,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239490,1,2,1,5,1240.8209,2,31,6.0,1993.0,3,4.0,6,2,3,1,1,1.0,1.0,2.0,4.0,700000.0,20.0,1.0,24.0,49.0,1.0
8239490,1,3,1,5,1240.8209,2,12,12.0,2012.0,8,6.0,6,2,3,1,1,3.0,1.0,1.0,4.0,,,,,,
8239490,1,4,1,5,1240.8209,2,9,8.0,2015.0,8,,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8239490,1,5,1,5,1240.8209,2,3,8.0,2021.0,8,,6,2,2,1,1,1.0,2.0,2.0,1.0,,,,,,
8239490,1,6,1,5,1240.8209,1,2,12.0,2022.0,8,,6,2,2,1,1,1.0,,,,,,,,,
8239492,1,1,1,5,1823.8653,1,33,1.0,1992.0,1,1.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1400000.0,20.0,4.0,12.0,82.0,1.0
8239492,1,2,1,5,1823.8653,2,29,10.0,1995.0,2,1.0,6,2,2,2,1,1.0,1.0,2.0,10.0,4500000.0,48.0,1.0,54.0,82.0,1.0
8239493,1,1,1,5,1192.9358,2,76,7.0,1948.0,1,3.0,6,2,3,3,1,1.0,1.0,2.0,5.0,,,,,,
8239493,1,2,1,5,1192.9358,1,39,8.0,1985.0,3,6.0,6,2,2,1,1,2.0,1.0,2.0,12.0,5400000.0,36.0,2.0,192.0,85.0,1.0
8239495,1,1,1,5,1191.5746,2,27,9.0,1997.0,1,2.0,6,2,2,1,1,1.0,1.0,2.0,5.0,1800000.0,35.0,4.0,18.0,86.0,1.0
8239495,1,2,1,5,1191.5746,1,27,1.0,1998.0,2,2.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1400000.0,60.0,1.0,6.0,45.0,2.0
8239495,1,3,1,5,1191.5746,1,5,4.0,2020.0,3,,6,2,1,1,1,1.0,2.0,1.0,2.0,,,,,,
8239495,1,4,1,5,1191.5746,2,57,11.0,1967.0,4,3.0,6,2,3,3,1,1.0,1.0,2.0,3.0,2123500.0,48.0,3.0,24.0,97.0,1.0
8239496,1,1,1,5,1319.7594,1,39,7.0,1985.0,1,6.0,6,2,2,2,2,,1.0,2.0,5.0,,,,,,
8239496,1,2,1,5,1319.7594,1,34,10.0,1990.0,6,6.0,6,2,2,2,1,1.0,1.0,2.0,8.0,1423000.0,46.0,1.0,32.0,22.0,1.0
8239497,1,1,1,5,1847.2688,1,25,3.0,2000.0,1,3.0,6,2,3,2,1,1.0,1.0,2.0,10.0,3500000.0,30.0,4.0,1.0,84.0,1.0
8239497,1,2,1,5,1847.2688,2,24,8.0,2000.0,2,3.0,6,2,2,2,1,3.0,1.0,2.0,10.0,,,,,,
8239498,1,1,1,5,1110.4358,2,63,10.0,1961.0,1,4.0,6,2,3,2,1,1.0,1.0,2.0,10.0,,,,,,
8239499,1,1,1,5,1823.8653,1,36,12.0,1988.0,1,2.0,6,2,2,2,1,1.0,1.0,2.0,10.0,4000000.0,46.0,1.0,3.0,86.0,1.0
8239499,1,2,1,5,1823.8653,2,31,3.0,1994.0,2,2.0,6,2,2,2,1,1.0,1.0,2.0,10.0,,,,,,
8239500,1,1,1,5,1320.3547,2,28,1.0,1997.0,1,2.0,6,1,2,2,1,1.0,1.0,2.0,5.0,1423000.0,46.0,1.0,6.0,86.0,1.0
8239500,1,2,1,5,1320.3547,1,33,4.0,1992.0,2,2.0,6,2,2,2,2,,1.0,2.0,4.0,2000000.0,50.0,4.0,72.0,38.0,2.0
8239500,1,3,1,5,1320.3547,1,9,5.0,2016.0,3,,6,1,2,1,1,1.0,1.0,1.0,3.0,,,,,,
8239502,1,1,1,5,1113.9423,2,55,1.0,1970.0,1,4.0,6,2,3,3,1,1.0,1.0,2.0,4.0,680000.0,36.0,1.0,24.0,56.0,2.0
8239502,1,2,1,5,1113.9423,1,44,1.0,1981.0,6,6.0,6,2,3,3,2,,1.0,2.0,5.0,300000.0,70.0,4.0,60.0,47.0,2.0
8239504,1,1,1,5,1153.9044,1,58,11.0,1966.0,1,3.0,6,1,3,3,1,1.0,1.0,2.0,5.0,1623500.0,48.0,1.0,360.0,68.0,1.0
8239504,1,2,1,5,1153.9044,2,41,11.0,1983.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,4.0,,,,,,
8239504,1,3,1,5,1153.9044,1,18,8.0,2006.0,3,6.0,6,2,1,1,1,1.0,1.0,2.0,5.0,,,,,,
8239504,1,4,1,5,1153.9044,2,14,4.0,2011.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,4.0,,,,,,
8239505,1,1,1,5,1105.6071,1,55,5.0,1970.0,1,3.0,6,2,3,3,1,1.0,1.0,2.0,9.0,2200000.0,35.0,4.0,82.0,74.0,2.0
8239505,1,2,1,5,1105.6071,2,57,10.0,1967.0,2,3.0,6,2,3,2,1,1.0,1.0,2.0,11.0,,,,,,
8239506,1,1,1,5,1204.1456,1,27,7.0,1997.0,1,2.0,6,2,2,2,1,1.0,1.0,2.0,5.0,2200000.0,60.0,1.0,11.0,84.0,1.0
8239506,1,2,1,5,1204.1456,2,22,8.0,2002.0,2,2.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1423500.0,48.0,1.0,16.0,87.0,1.0
8239507,1,1,1,5,1770.2601,2,25,8.0,1999.0,1,4.0,6,2,2,2,2,,1.0,2.0,8.0,,,,,,
8239507,1,2,1,5,1770.2601,2,3,7.0,2021.0,3,,6,2,2,1,2,,2.0,1.0,2.0,,,,,,
8239508,1,1,1,5,1823.8653,2,31,12.0,1993.0,1,3.0,6,2,2,2,1,1.0,1.0,2.0,10.0,4000000.0,43.0,1.0,84.0,64.0,1.0
8239508,1,2,1,5,1823.8653,1,33,1.0,1992.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,8.0,3000000.0,45.0,2.0,18.0,85.0,1.0
8239509,1,1,1,5,1741.2815,2,27,11.0,1997.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,10.0,1800000.0,47.0,1.0,12.0,47.0,1.0
8239509,1,2,1,5,1741.2815,2,25,4.0,2000.0,6,1.0,6,2,2,2,1,1.0,1.0,2.0,8.0,3000000.0,47.0,1.0,18.0,51.0,1.0
8239509,1,3,1,5,1741.2815,1,29,11.0,1995.0,13,1.0,6,2,2,2,1,1.0,1.0,2.0,8.0,2500000.0,47.0,1.0,2.0,47.0,1.0
8239510,1,1,1,5,1888.442,1,27,10.0,1997.0,1,3.0,6,2,3,2,1,1.0,1.0,2.0,10.0,2600000.0,47.0,1.0,60.0,62.0,1.0
8239510,1,2,1,5,1888.442,2,26,9.0,1998.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,10.0,1400000.0,48.0,1.0,48.0,46.0,1.0
8239510,1,3,1,5,1888.442,2,0,5.0,2025.0,3,,6,2,1,1,1,1.0,,,,,,,,,
8239511,1,1,1,5,2234.0741,2,36,9.0,1988.0,1,2.0,6,2,3,2,1,3.0,1.0,2.0,5.0,,,,,,
8239511,1,2,1,5,2234.0741,1,40,1.0,1985.0,2,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,1200000.0,60.0,4.0,84.0,49.0,2.0
8239511,1,3,1,5,2234.0741,1,14,8.0,2010.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,4.0,,,,,,
8239511,1,4,1,5,2234.0741,1,8,6.0,2017.0,3,,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8239511,1,5,1,5,2234.0741,1,17,10.0,2007.0,6,6.0,6,2,3,2,1,3.0,1.0,1.0,4.0,600000.0,30.0,1.0,7.0,56.0,2.0
8239512,1,1,1,5,1203.7511,2,51,11.0,1973.0,1,3.0,6,2,3,2,1,1.0,1.0,2.0,4.0,,,,,,
8239512,1,2,1,5,1203.7511,1,52,8.0,1972.0,2,3.0,6,1,2,2,1,1.0,1.0,2.0,3.0,2000000.0,50.0,4.0,144.0,49.0,1.0
8239513,1,1,1,5,1258.2564,1,28,3.0,1997.0,1,6.0,6,2,2,2,1,2.0,1.0,2.0,8.0,3600000.0,45.0,2.0,90.0,84.0,1.0
8239514,1,1,1,5,1288.9923,1,39,12.0,1985.0,1,2.0,6,2,3,2,1,1.0,1.0,2.0,3.0,1423500.0,45.0,1.0,24.0,47.0,1.0
8239514,1,2,1,5,1288.9923,2,34,12.0,1990.0,2,2.0,6,2,3,2,1,1.0,1.0,2.0,9.0,,,,,,
8239514,1,3,1,5,1288.9923,2,14,1.0,2011.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,4.0,,,,,,
8239514,1,4,1,5,1288.9923,2,8,6.0,2016.0,3,,6,2,1,1,1,1.0,1.0,1.0,3.0,,,,,,
8239515,1,1,1,5,1632.6212,2,38,6.0,1986.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,5.0,4800000.0,15.0,4.0,96.0,79.0,1.0
8239517,1,1,1,5,1045.3013,1,87,6.0,1938.0,1,3.0,6,2,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239517,1,2,1,5,1045.3013,2,80,11.0,1944.0,2,3.0,6,1,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239518,1,1,1,5,1810.6321,2,56,1.0,1969.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,5.0,1423500.0,46.0,1.0,8.0,47.0,1.0
8239518,1,2,1,5,1810.6321,2,32,3.0,1993.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,10.0,1500000.0,40.0,4.0,60.0,47.0,2.0
8239519,1,1,1,5,1189.2999,1,22,6.0,2002.0,1,6.0,6,2,2,2,1,2.0,1.0,1.0,10.0,,,,,,
8239519,1,2,1,5,1189.2999,1,23,2.0,2002.0,9,6.0,6,2,2,2,1,1.0,1.0,2.0,8.0,2185000.0,48.0,1.0,8.0,25.0,1.0
8239520,1,1,1,5,1125.7511,2,33,4.0,1992.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,11.0,4200000.0,44.0,1.0,3.0,64.0,1.0
8239521,1,1,1,5,898.457,1,67,5.0,1958.0,1,3.0,6,1,3,3,1,3.0,2.0,2.0,1.0,,,,,,
8239521,1,2,1,5,898.457,2,63,6.0,1962.0,2,3.0,6,2,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239521,1,3,1,5,898.457,1,19,8.0,2005.0,3,2.0,6,2,1,1,1,1.0,1.0,2.0,5.0,1420000.0,48.0,1.0,2.0,45.0,1.0
8239521,1,4,1,5,898.457,2,18,11.0,2006.0,7,2.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1420000.0,48.0,1.0,0.0,45.0,1.0
8239522,1,1,1,5,1336.8591,2,26,5.0,1999.0,1,2.0,6,2,2,3,1,1.0,1.0,2.0,5.0,1423500.0,56.0,1.0,12.0,47.0,1.0
8239522,1,2,1,5,1336.8591,1,34,4.0,1991.0,2,2.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1423500.0,46.0,1.0,12.0,47.0,1.0
8239522,1,3,1,5,1336.8591,1,3,1.0,2022.0,3,,6,2,1,1,1,1.0,2.0,1.0,2.0,,,,,,
8239523,1,1,1,5,1823.8653,2,25,10.0,1999.0,1,1.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1420000.0,44.0,1.0,18.0,56.0,1.0
8239523,1,2,1,5,1823.8653,1,30,6.0,1995.0,2,1.0,6,2,2,2,1,1.0,1.0,2.0,8.0,1420000.0,44.0,1.0,50.0,56.0,1.0
8239524,1,1,1,5,1485.399,2,37,2.0,1988.0,1,2.0,6,2,3,2,1,1.0,1.0,2.0,5.0,1400000.0,48.0,1.0,12.0,86.0,1.0
8239524,1,2,1,5,1485.399,1,33,2.0,1992.0,2,2.0,6,2,3,2,1,3.0,1.0,2.0,3.0,1600000.0,40.0,1.0,36.0,56.0,2.0
8239524,1,3,1,5,1485.399,1,11,2.0,2014.0,3,6.0,6,2,2,1,1,1.0,1.0,1.0,3.0,,,,,,
8239525,1,1,1,5,3330.5581,1,39,3.0,1986.0,1,6.0,6,2,3,3,1,3.0,1.0,2.0,5.0,650000.0,36.0,4.0,5.0,56.0,2.0
8239526,1,1,1,5,1698.7664,1,60,4.0,1965.0,1,2.0,6,2,3,2,1,1.0,1.0,2.0,5.0,1600000.0,45.0,1.0,96.0,14.0,1.0
8239526,1,2,1,5,1698.7664,2,46,10.0,1978.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8239527,1,1,1,5,1712.5346,2,26,9.0,1998.0,1,1.0,6,2,2,2,1,1.0,1.0,1.0,10.0,2134500.0,46.0,1.0,24.0,85.0,1.0
8239527,1,2,1,5,1712.5346,1,23,11.0,2001.0,2,1.0,6,2,2,2,1,1.0,1.0,1.0,9.0,1423000.0,46.0,1.0,6.0,80.0,1.0
8239528,1,1,1,5,1888.442,1,44,8.0,1980.0,1,3.0,6,2,3,2,1,1.0,1.0,2.0,5.0,1750000.0,46.0,1.0,240.0,24.0,1.0
8239528,1,2,1,5,1888.442,2,36,3.0,1989.0,2,3.0,6,2,2,2,1,1.0,1.0,1.0,9.0,,,,,,
8239528,1,3,1,5,1888.442,2,13,5.0,2012.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,4.0,,,,,,
8239529,1,1,1,5,1590.7069,2,83,4.0,1942.0,1,5.0,6,1,3,3,1,1.0,1.0,2.0,3.0,,,,,,
8239530,1,1,1,5,1824.7785,2,50,10.0,1974.0,1,4.0,6,2,3,2,1,1.0,1.0,2.0,8.0,,,,,,
8239530,1,2,1,5,1824.7785,2,27,8.0,1997.0,3,6.0,6,2,2,1,1,1.0,1.0,2.0,13.0,1900000.0,46.0,1.0,3.0,45.0,1.0
8239530,1,3,1,5,1824.7785,1,14,2.0,2011.0,3,6.0,6,2,2,1,1,1.0,1.0,1.0,4.0,,,,,,
8239531,1,1,1,5,1590.7069,2,58,11.0,1966.0,1,4.0,6,2,3,3,1,3.0,1.0,2.0,5.0,1400000.0,40.0,1.0,6.0,56.0,2.0
8239532,1,1,1,5,1792.3857,2,59,8.0,1965.0,1,6.0,6,2,3,3,1,3.0,1.0,2.0,4.0,1400000.0,60.0,1.0,120.0,14.0,2.0
8239532,1,2,1,5,1792.3857,1,11,8.0,2013.0,8,6.0,6,2,2,2,1,3.0,1.0,1.0,4.0,,,,,,
8239533,1,1,1,5,1583.7898,1,61,11.0,1963.0,1,2.0,6,2,2,3,1,1.0,1.0,2.0,4.0,1583000.0,46.0,1.0,70.0,22.0,1.0
8239533,1,2,1,5,1583.7898,2,55,9.0,1969.0,2,2.0,6,2,2,3,1,1.0,1.0,2.0,4.0,1000000.0,46.0,4.0,60.0,56.0,2.0
8239534,1,1,1,5,1823.8653,1,25,11.0,1999.0,1,3.0,6,2,2,2,1,1.0,1.0,2.0,10.0,2250000.0,46.0,4.0,15.0,49.0,2.0
8239534,1,2,1,5,1823.8653,2,32,12.0,1992.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,10.0,2758500.0,46.0,1.0,12.0,62.0,1.0
8239535,1,1,1,5,1669.9066,2,24,11.0,2000.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,10.0,2000000.0,46.0,4.0,24.0,85.0,1.0
8239535,1,2,1,5,1669.9066,2,18,11.0,2006.0,6,6.0,6,2,2,2,1,3.0,1.0,2.0,10.0,,,,,,
8239536,1,1,1,5,1708.8888,2,56,3.0,1969.0,1,4.0,6,1,2,2,1,1.0,1.0,2.0,4.0,1825000.0,46.0,3.0,46.0,97.0,1.0
8239536,1,2,1,5,1708.8888,1,28,10.0,1996.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,8.0,1000000.0,46.0,1.0,12.0,47.0,2.0
8239537,1,1,1,5,1258.2564,1,26,7.0,1998.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,5.0,2000000.0,60.0,4.0,30.0,49.0,1.0
8239538,1,1,1,5,1107.886,1,35,9.0,1989.0,1,1.0,6,1,3,3,1,1.0,1.0,2.0,5.0,0.0,70.0,5.0,48.0,47.0,1.0
8239538,1,2,1,5,1107.886,2,32,3.0,1993.0,2,1.0,6,1,2,2,1,1.0,1.0,2.0,9.0,5000000.0,70.0,5.0,96.0,56.0,1.0
8239538,1,3,1,5,1107.886,2,11,8.0,2013.0,3,6.0,6,2,3,1,1,1.0,1.0,1.0,4.0,,,,,,
8239540,1,1,1,5,1125.7511,2,27,1.0,1998.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,5.0,1720000.0,48.0,1.0,9.0,82.0,1.0
8239541,1,1,1,5,1278.918,1,60,9.0,1964.0,1,4.0,6,2,3,3,1,1.0,1.0,2.0,5.0,2130000.0,48.0,1.0,48.0,91.0,1.0
8239542,1,1,1,5,1146.9648,2,77,6.0,1948.0,1,6.0,6,1,3,3,1,3.0,1.0,2.0,3.0,300000.0,50.0,4.0,480.0,14.0,2.0
8239542,1,2,1,5,1146.9648,1,19,10.0,2005.0,8,6.0,6,2,2,2,1,1.0,1.0,2.0,6.0,1930000.0,48.0,1.0,16.0,71.0,1.0
8239543,1,1,1,5,813.3902,1,64,6.0,1961.0,1,3.0,6,2,3,3,1,1.0,1.0,2.0,10.0,3500000.0,42.0,4.0,72.0,51.0,3.0
8239543,1,2,1,5,813.3902,1,22,7.0,2002.0,13,6.0,6,2,2,2,1,1.0,1.0,2.0,8.0,1500000.0,20.0,4.0,12.0,51.0,1.0
8239543,1,3,1,5,813.3902,1,25,2.0,2000.0,13,6.0,6,2,2,2,1,1.0,1.0,2.0,8.0,2800000.0,46.0,1.0,32.0,51.0,1.0
8239544,1,1,1,5,1309.4417,1,28,10.0,1996.0,1,2.0,6,1,3,2,1,1.0,1.0,2.0,5.0,1755000.0,48.0,1.0,18.0,81.0,1.0
8239544,1,2,1,5,1309.4417,2,26,11.0,1998.0,2,2.0,6,1,2,2,1,1.0,1.0,2.0,8.0,1900000.0,48.0,1.0,30.0,47.0,1.0
8239545,1,1,1,5,1129.1178,2,58,5.0,1967.0,1,6.0,6,1,3,2,1,1.0,1.0,2.0,5.0,1600000.0,40.0,4.0,360.0,81.0,3.0
8239545,1,2,1,5,1129.1178,2,36,5.0,1989.0,3,6.0,6,2,2,1,1,1.0,1.0,2.0,5.0,1950000.0,48.0,1.0,32.0,14.0,1.0
8239545,1,3,1,5,1129.1178,2,12,2.0,2013.0,8,6.0,6,1,2,1,1,1.0,1.0,1.0,4.0,,,,,,
8239546,1,1,1,5,1253.6911,1,67,9.0,1957.0,1,4.0,6,2,3,3,1,1.0,1.0,2.0,9.0,,,,,,
8239546,1,2,1,5,1253.6911,1,35,1.0,1990.0,3,6.0,6,2,1,2,1,1.0,1.0,2.0,6.0,,,,,,
8239547,1,1,1,5,2149.1716,2,60,11.0,1964.0,1,3.0,6,2,2,3,1,1.0,1.0,2.0,5.0,,,,,,
8239547,1,2,1,5,2149.1716,1,66,8.0,1958.0,2,3.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239547,1,3,1,5,2149.1716,1,23,3.0,2002.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,10.0,,,,,,
8239548,1,1,1,5,1137.5557,2,53,1.0,1972.0,1,4.0,6,2,3,1,1,1.0,1.0,2.0,3.0,,,,,,
8239548,1,2,1,5,1137.5557,2,80,1.0,1945.0,4,5.0,6,1,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239549,1,1,1,5,817.3127,2,76,10.0,1948.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239549,1,2,1,5,817.3127,2,73,8.0,1951.0,6,6.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239550,1,1,1,5,933.2147,2,64,6.0,1960.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,8.0,,,,,,
8239551,1,1,1,5,729.1259,2,60,7.0,1964.0,1,4.0,6,2,3,2,1,1.0,1.0,2.0,10.0,,,,,,
8239551,1,2,1,5,729.1259,1,28,10.0,1996.0,3,6.0,6,2,2,1,1,1.0,1.0,2.0,9.0,3000000.0,60.0,4.0,24.0,47.0,1.0
8239554,1,1,1,8,528.6884,1,73,,,1,3.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239554,1,2,1,8,528.6884,2,72,,,2,3.0,6,2,3,3,1,1.0,1.0,2.0,5.0,,,,,,
8239554,1,3,1,8,528.6884,2,50,,,3,6.0,6,2,1,1,1,1.0,1.0,2.0,5.0,,,,,,
8239555,1,1,1,8,682.203,2,70,11.0,1954.0,1,4.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239555,1,2,1,8,682.203,2,62,5.0,1963.0,6,5.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239556,1,1,1,8,543.8168,2,64,9.0,1960.0,1,2.0,6,2,3,1,1,1.0,1.0,2.0,10.0,700000.0,18.0,4.0,248.0,10.0,2.0
8239556,1,2,1,8,543.8168,1,65,5.0,1960.0,2,2.0,6,2,3,3,1,1.0,1.0,2.0,10.0,1000000.0,40.0,4.0,84.0,88.0,3.0
8239556,1,3,1,8,543.8168,2,87,12.0,1937.0,4,5.0,6,2,3,3,1,1.0,1.0,2.0,3.0,,,,,,
8239557,1,1,1,8,552.5729,2,43,11.0,1981.0,1,3.0,6,2,2,2,1,1.0,1.0,2.0,10.0,4000000.0,48.0,1.0,120.0,86.0,1.0
8239557,1,2,1,8,552.5729,2,22,1.0,2003.0,3,6.0,6,2,2,1,1,1.0,1.0,2.0,10.0,,,,,,
8239557,1,3,1,8,552.5729,1,18,11.0,2006.0,3,6.0,6,2,2,1,1,1.0,1.0,1.0,10.0,,,,,,
8239558,1,1,1,8,658.714,1,52,6.0,1973.0,1,3.0,6,2,3,2,1,1.0,1.0,2.0,10.0,4000000.0,46.0,1.0,4.0,56.0,1.0
8239558,1,2,1,8,658.714,2,45,10.0,1979.0,2,3.0,6,2,2,2,1,1.0,1.0,2.0,8.0,1800000.0,48.0,1.0,3.0,78.0,1.0
8239558,1,3,1,8,658.714,2,17,3.0,2008.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,5.0,,,,,,
8239559,1,1,1,8,605.6123,1,62,7.0,1962.0,1,4.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239559,1,2,1,8,605.6123,2,20,12.0,2004.0,3,6.0,6,2,1,2,1,1.0,1.0,1.0,10.0,1423500.0,40.0,1.0,7.0,82.0,1.0
8239561,1,1,1,8,899.7737,1,32,10.0,1992.0,1,6.0,6,2,2,2,1,1.0,1.0,2.0,10.0,11000000.0,48.0,1.0,1.0,10.0,1.0
8239562,1,1,1,8,760.4889,2,59,12.0,1965.0,1,6.0,6,2,3,3,1,1.0,1.0,2.0,9.0,2200000.0,47.0,1.0,48.0,68.0,3.0
8239563,1,1,1,8,821.4877,2,79,9.0,1945.0,1,5.0,6,2,3,3,1,1.0,1.0,2.0,10.0,,,,,,
8239563,1,2,1,8,821.4877,1,44,12.0,1980.0,3,4.0,6,2,3,1,1,3.0,1.0,2.0,5.0,,,,,,
8239564,1,1,1,8,515.5226,1,58,4.0,1967.0,1,3.0,5,2,3,3,1,1.0,1.0,2.0,10.0,2200000.0,40.0,4.0,84.0,69.0,2.0
8239564,1,2,1,8,515.5226,2,56,7.0,1968.0,2,3.0,6,2,3,2,1,1.0,1.0,2.0,10.0,2000000.0,48.0,1.0,3.0,47.0,1.0
8239564,1,3,1,8,515.5226,1,26,10.0,1998.0,3,6.0,6,2,1,1,1,1.0,1.0,2.0,10.0,3500000.0,47.0,1.0,36.0,86.0,1.0
8239564,1,4,1,8,515.5226,1,16,10.0,2008.0,3,6.0,6,2,1,1,1,1.0,1.0,1.0,5.0,,,,,,
8239565,1,1,1,8,510.3656,1,56,4.0,1969.0,1,3.0,6,1,3,3,1,2.0,1.0,2.0,10.0,,,,,,
